TECHUSE,TECHUSE_LABEL,NAICS2017,NAICS2017_LABEL,FIRMPDEMP
T1E03B05,Artificial Intelligence: High use,00,Total for all sectors,20212
T1E03B06,Artificial Intelligence: Don't know,00,Total for all sectors,251786
T1E03BA9,Artificial Intelligence: Total Reporting,00,Total for all sectors,4750687
T1E03B05,Artificial Intelligence: High use,11,"Agriculture, forestry, fishing and hunting",0
T1E03B06,Artificial Intelligence: Don't know,11,"Agriculture, forestry, fishing and hunting",660
T1E03BA9,Artificial Intelligence: Total Reporting,11,"Agriculture, forestry, fishing and hunting",21617
T1E03B05,Artificial Intelligence: High use,22,Utilities,0
T1E03B06,Artificial Intelligence: Don't know,22,Utilities,159
T1E03BA9,Artificial Intelligence: Total Reporting,22,Utilities,2745
T1E03B05,Artificial Intelligence: High use,21,"Mining, quarrying, and oil and gas extraction",9
T1E03B06,Artificial Intelligence: Don't know,21,"Mining, quarrying, and oil and gas extraction",511
T1E03BA9,Artificial Intelligence: Total Reporting,21,"Mining, quarrying, and oil and gas extraction",15001
T1E03B05,Artificial Intelligence: High use,23,Construction,1088
T1E03B06,Artificial Intelligence: Don't know,23,Construction,24038
T1E03BA9,Artificial Intelligence: Total Reporting,23,Construction,605682
T1E03B05,Artificial Intelligence: High use,42,Wholesale trade,780
T1E03B06,Artificial Intelligence: Don't know,42,Wholesale trade,14012
T1E03BA9,Artificial Intelligence: Total Reporting,42,Wholesale trade,256845
T1E03B05,Artificial Intelligence: High use,31-33,Manufacturing,925
T1E03B06,Artificial Intelligence: Don't know,31-33,Manufacturing,10990
T1E03BA9,Artificial Intelligence: Total Reporting,31-33,Manufacturing,215196
T1E03B05,Artificial Intelligence: High use,44-45,Retail trade,1520
T1E03B06,Artificial Intelligence: Don't know,44-45,Retail trade,33176
T1E03BA9,Artificial Intelligence: Total Reporting,44-45,Retail trade,559303
T1E03B05,Artificial Intelligence: High use,48-49,Transportation and warehousing,421
T1E03B06,Artificial Intelligence: Don't know,48-49,Transportation and warehousing,9150
T1E03BA9,Artificial Intelligence: Total Reporting,48-49,Transportation and warehousing,151870
T1E03B05,Artificial Intelligence: High use,51,Information,864
T1E03B06,Artificial Intelligence: Don't know,51,Information,3676
T1E03BA9,Artificial Intelligence: Total Reporting,51,Information,61380
T1E03B05,Artificial Intelligence: High use,52,Finance and insurance,1800
T1E03B06,Artificial Intelligence: Don't know,52,Finance and insurance,12394
T1E03BA9,Artificial Intelligence: Total Reporting,52,Finance and insurance,197618
T1E03B05,Artificial Intelligence: High use,53,Real estate and rental and leasing,830
T1E03B06,Artificial Intelligence: Don't know,53,Real estate and rental and leasing,13936
T1E03BA9,Artificial Intelligence: Total Reporting,53,Real estate and rental and leasing,255233
T1E03B05,Artificial Intelligence: High use,54,"Professional, scientific, and technical services",6124
T1E03B06,Artificial Intelligence: Don't know,54,"Professional, scientific, and technical services",30568
T1E03BA9,Artificial Intelligence: Total Reporting,54,"Professional, scientific, and technical services",684192
T1E03B05,Artificial Intelligence: High use,55,Management of companies and enterprises,83
T1E03B06,Artificial Intelligence: Don't know,55,Management of companies and enterprises,1905
T1E03BA9,Artificial Intelligence: Total Reporting,55,Management of companies and enterprises,19885
T1E03B05,Artificial Intelligence: High use,56,Administrative and support and waste management and remediation services,959
T1E03B06,Artificial Intelligence: Don't know,56,Administrative and support and waste management and remediation services,12590
T1E03BA9,Artificial Intelligence: Total Reporting,56,Administrative and support and waste management and remediation services,286673
T1E03B05,Artificial Intelligence: High use,62,Health care and social assistance,2524
T1E03B06,Artificial Intelligence: Don't know,62,Health care and social assistance,28085
T1E03BA9,Artificial Intelligence: Total Reporting,62,Health care and social assistance,513800
T1E03B05,Artificial Intelligence: High use,61,Educational services,0
T1E03B06,Artificial Intelligence: Don't know,61,Educational services,1986
T1E03BA9,Artificial Intelligence: Total Reporting,61,Educational services,53763
T1E03B05,Artificial Intelligence: High use,72,Accommodation and food services,1385
T1E03B06,Artificial Intelligence: Don't know,72,Accommodation and food services,32014
T1E03BA9,Artificial Intelligence: Total Reporting,72,Accommodation and food services,450198
T1E03B05,Artificial Intelligence: High use,71,"Arts, entertainment, and recreation",0
T1E03B06,Artificial Intelligence: Don't know,71,"Arts, entertainment, and recreation",4153
T1E03BA9,Artificial Intelligence: Total Reporting,71,"Arts, entertainment, and recreation",89033
T1E03B05,Artificial Intelligence: High use,99,Industries not classified,0
T1E03B06,Artificial Intelligence: Don't know,99,Industries not classified,950
T1E03BA9,Artificial Intelligence: Total Reporting,99,Industries not classified,14765
T1E03B05,Artificial Intelligence: High use,81,Other services (except public administration),679
T1E03B06,Artificial Intelligence: Don't know,81,Other services (except public administration),21541
T1E03BA9,Artificial Intelligence: Total Reporting,81,Other services (except public administration),342535
